model_key,model_label,category,generation,genome_id,fitness,train_avg_det_score,train_variance,train_det_pass_rate,train_gt_exact_rate,validation_avg_det_score,validation_variance,validation_det_pass_rate,validation_gt_exact_rate,prompt_tokens,llm_latency_sec,peak_vram_gb,block_01,block_02,block_03,block_06,failure_summary
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,1,v15-a6e0ae2c-32f5-a6e6-906b-5a6cec7a22ad,100.0,100.0,0.0,100.0,100.0,92.475,169.876875,75.0,75.0,67508,16.6223,17.401,01_preamble.txt,02_generator_prompt.txt,03_postprocessor.txt,06_det_helper.txt,"{""gt_mismatch"": 1, ""numeric_grounding"": 1}"
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,1,v13mix-384efae3-b633-4eeb-62db-53a3d451e7ae,100.0,100.0,0.0,100.0,100.0,92.475,169.876875,75.0,75.0,148248,38.5198,21.2819,generated/v13_gene_pool_e35ef6292a/01_v13_caution_full.txt,02_generator_prompt.txt,generated/v13_gene_pool_e35ef6292a/03_v13_response_contract.txt,06_det_helper.txt,"{""gt_mismatch"": 1, ""numeric_grounding"": 1}"
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,1,v13compact-2e58e511-7bb2-4fdb-1dbd-3a0e2c39d58a,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,193580,54.5363,23.5102,generated/v13_gene_pool_e35ef6292a/01_v13_caution_compact.txt,generated/v13_gene_pool_e35ef6292a/02_v13_service_response_compact.txt,generated/v13_gene_pool_e35ef6292a/03_v13_response_contract.txt,generated/v13_gene_pool_e35ef6292a/06_v13_grammar_tempo_compact.txt,{}
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,1,gene-7d0a4289-5681-bdd4-b374-8e964a11d522,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,124488,31.6098,20.1743,generated/v13_gene_pool_e35ef6292a/01_v13_caution_compact.txt,02_generator_prompt.txt,03_postprocessor.txt,06_det_helper.txt,{}
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,2,gene-7d0a4289-5681-bdd4-b374-8e964a11d522,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,124488,31.4612,20.1743,generated/v13_gene_pool_e35ef6292a/01_v13_caution_compact.txt,02_generator_prompt.txt,03_postprocessor.txt,06_det_helper.txt,{}
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,2,mut-e86d15a8-a6b7-f9ca-d46d-43caf74d0b77,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,124576,31.4626,20.178,generated/v13_gene_pool_e35ef6292a/01_v13_caution_compact.txt,02_generator_prompt.txt,03_postprocessor.txt,06_det_helper.txt,{}
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,2,mut-a1d526ea-dd66-199e-a65f-8bdabc6ab977,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,124164,31.4247,20.1623,generated/v13_gene_pool_e35ef6292a/01_v13_caution_compact.txt,02_generator_prompt.txt,generated/v13_gene_pool_e35ef6292a/03_json_case_guard.txt,06_det_helper.txt,{}
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,2,cross-4cbb1fff-cd67-c5fc-7a4e-711796ca29f3,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,124488,31.6643,20.1743,generated/v13_gene_pool_e35ef6292a/01_v13_caution_compact.txt,02_generator_prompt.txt,03_postprocessor.txt,06_det_helper.txt,{}
