model_key,model_label,category,row_count,avg_det_score,avg_gt_similarity,gt_exact_count,gt_exact_rate,pass_count,det_pass_rate,fail_count,warm_latency_p50,avg_prompt_tokens,avg_total_tokens,peak_vram_gb_max,oom_count,generation_error_rate,failure_rate,row_success_rate,top_failure_types
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,10,62.7985,0.6174,0,0.0000,5,0.5000,5,7.7430,31868.7000,31906.8000,20.1412,0,0.0000,0.5000,0.5000,"[[""gt_mismatch"", 10], [""extraneous"", 5], [""precondition"", 5], [""semantic"", 5], [""service_match"", 5], [""arg_type"", 4]]"
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,2,10,91.4616,0.8840,0,0.0000,10,1.0000,0,2.2947,5704.7000,5762.1000,15.6699,0,0.0000,0.0000,1.0000,"[[""gt_mismatch"", 10], [""arg_type"", 3], [""semantic"", 1]]"
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,1,10,77.1585,0.7577,0,0.0000,8,0.8000,2,17.6343,31868.7000,31919.6000,37.0617,0,0.0000,0.2000,0.8000,"[[""gt_mismatch"", 10], [""arg_type"", 5], [""semantic"", 4], [""extraneous"", 2], [""precondition"", 2], [""service_match"", 2]]"
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,2,10,92.2753,0.9112,0,0.0000,10,1.0000,0,4.4729,5704.7000,5761.2000,29.8918,0,0.0000,0.0000,1.0000,"[[""gt_mismatch"", 10], [""arg_type"", 3], [""semantic"", 1]]"
