model_key,category,generation,DETPass,SDET,fitness,prompt_tokens,latency_sec,genome_id
llama31_8b,5,4,75.0,89.6517,100.0,136064,44.7093,mut-b6aaf82d-3f09-3fb6-bf7c-07a7add31469
llama31_8b,5,5,75.0,89.6517,100.0,136064,44.7134,mut-b6aaf82d-3f09-3fb6-bf7c-07a7add31469
llama31_8b,5,6,75.0,89.6517,100.0,136064,44.7001,clone-057e7f97-8a41-97df-709f-0f88617f0e84
llama31_8b,5,7,75.0,89.6517,100.0,136064,44.6682,clone-057e7f97-8a41-97df-709f-0f88617f0e84
llama31_8b,5,8,100.0,94.9117,100.0,136132,43.6916,mut-beb6da30-cb47-2f82-9440-fc3b4bdf88d7
llama31_8b,5,9,100.0,96.663,100.0,136152,44.2227,mut-37c1aeab-4934-2179-344d-f240a24c1b08
llama31_8b,5,10,100.0,96.663,100.0,136152,44.18,cross-10e18cb8-2135-1075-ef11-3e436eb6078e
llama31_8b,6,1,50.0,83.0444,94.5892,105702,40.8039,gene-de0dfd90-a0b3-9de9-c0c0-e71821bb2980
llama31_8b,6,2,50.0,83.0444,94.5892,105702,40.7999,gene-de0dfd90-a0b3-9de9-c0c0-e71821bb2980
llama31_8b,6,3,50.0,83.0554,94.5892,109674,41.6942,cross-20daf50a-aeab-8668-f585-895c8a75d1a8
llama31_8b,6,4,50.0,83.2696,94.5892,109666,41.6534,cross-cda1ddfd-17cc-d177-59ea-0eb231dbab73
llama31_8b,6,5,50.0,83.2696,94.5892,109666,41.6449,clone-8f78e041-e6e1-330f-a353-aa7b5eef5f4b
llama31_8b,6,6,50.0,83.2696,94.5892,109666,41.6183,clone-203ffdc0-65de-1480-af65-b3d4c2160ee8
llama31_8b,6,7,50.0,83.2696,94.5892,109666,41.6167,clone-203ffdc0-65de-1480-af65-b3d4c2160ee8
llama31_8b,6,8,50.0,83.2696,94.5892,109666,41.7661,clone-203ffdc0-65de-1480-af65-b3d4c2160ee8
llama31_8b,6,9,50.0,83.2696,94.5892,109666,41.7793,clone-1e5fb614-80a9-3be9-248c-275028c59508
llama31_8b,6,10,50.0,83.2696,94.5892,109666,41.7731,clone-1e5fb614-80a9-3be9-248c-275028c59508
llama31_8b,7,1,25.0,59.3711,100.0,227034,86.9791,gene-27126b9c-6837-b9bf-b0fc-1f92224f1245
llama31_8b,7,2,50.0,74.5134,100.0,230978,93.9422,mut-d733e7a7-2b40-d34e-8d09-55085b8e6fda
llama31_8b,7,3,50.0,74.5134,100.0,230978,93.9472,clone-afbb2514-2823-97e8-13c6-81e8dc56fd21
